target,feature,positive_count,negative_count,positive_mean,negative_mean,positive_median,negative_median,mean_diff,cohen_d,abs_cohen_d,horizon_frames
is_observed_division,shape_r_norm_005,43,2631,1.1149247427946432,1.0799452662618658,1.1147489249706268,1.081579830588364,0.03497947653277733,0.5341988989243769,0.5341988989243769,
is_observed_division,shape_r_norm_027,43,2631,1.112053775887519,1.0782242963634434,1.0998663306236267,1.0802467538089287,0.03382947952407567,0.5089334340318112,0.5089334340318112,
is_observed_division,shape_r_norm_026,43,2631,1.0649818273300014,1.031983343043739,1.059895888755196,1.0404048707427047,0.032998484286262286,0.5015104898080918,0.5015104898080918,
is_observed_division,shape_r_norm_038,43,2631,1.0625177583763517,1.0328284242334154,1.0629218816757202,1.0407989126879995,0.029689334142936286,0.4449499880434578,0.4449499880434578,
is_observed_division,shape_contour_centroid_dy,43,2631,2.01848554670517e-06,6.33886245328275e-08,1.0580758898016468e-06,2.7380020541433016e-08,1.955096922172342e-06,0.44446332925478094,0.44446332925478094,
is_observed_division,shape_r_norm_006,43,2631,1.0620179073986795,1.0337948132612889,1.0688758343458176,1.0420678626088535,0.02822309413739066,0.4435239350226598,0.4435239350226598,
is_observed_division,shape_r_norm_037,43,2631,1.1074196547290371,1.078720645620386,1.1071137547492982,1.0797668579148083,0.028699009108651197,0.42546072284619496,0.42546072284619496,
is_observed_division,shape_r_norm_004,43,2631,1.154915891283319,1.125450189765277,1.1565523386001586,1.1210343924964346,0.029465701518041953,0.37580526424672434,0.37580526424672434,
is_observed_division,shape_r_norm_028,43,2631,1.152538700495315,1.1241761965459578,1.156643311182658,1.1213738424022024,0.028362503949357132,0.36776638608357354,0.36776638608357354,
is_observed_division,shape_r_norm_039,43,2631,1.015152532953516,0.9891113459303352,1.0145051858641885,1.0019433193090486,0.026041187023180812,0.365612309147973,0.365612309147973,
is_observed_division,SOLIDITY,43,2631,0.9549390555430469,0.9642051117876159,0.9607840851221106,0.9761713763728271,-0.009266056244568999,-0.3344989059704464,0.3344989059704464,
is_observed_division,shape_r_norm_017,43,2631,0.7669180505757163,0.7995450585533088,0.7928193569183349,0.8096761777997017,-0.03262700797759255,-0.30821407623954433,0.30821407623954433,
is_observed_division,shape_r_norm_016,43,2631,0.7656869654248472,0.7967443314823676,0.7822762727737427,0.8077405836524033,-0.031057366057520408,-0.29377460638795955,0.29377460638795955,
is_observed_division,shape_r_norm_018,43,2631,0.7761524677287679,0.8063518232609509,0.7986926490610297,0.8161056550537668,-0.030199355532183003,-0.287090562201437,0.287090562201437,
is_observed_division,shape_r_norm_015,43,2631,0.7697506029586121,0.7985773543603991,0.7804062843322754,0.8090904006143895,-0.028826751401787032,-0.2738032834464273,0.2738032834464273,
is_observed_division,shape_r_norm_025,43,2631,1.007745440698817,0.9882694938471225,1.0122027695178986,1.0023748642868466,0.019475946851694625,0.2737674552085671,0.2737674552085671,
is_observed_division,shape_r_norm_019,43,2631,0.7912013971876741,0.818188715115062,0.8121166601777077,0.8293116441587123,-0.026987317927387844,-0.26158658009362207,0.26158658009362207,
is_observed_division,CIRCULARITY,43,2631,0.8158639447088065,0.7769848986058907,0.8225097096943175,0.841105574519716,0.038879046102915815,0.25440499538696676,0.25440499538696676,
is_observed_division,shape_r_norm_007,43,2631,1.0066336552912212,0.9896436887378017,1.0181071758270264,1.0026442277722243,0.016989966553419444,0.24762108105305908,0.24762108105305908,
is_observed_division,shape_r_norm_040,43,2631,0.9666138873051753,0.9489782743900531,0.9719456054947593,0.9653871357440948,0.017635612915122167,0.22698658344993997,0.22698658344993997,
is_observed_division,shape_r_norm_020,43,2631,0.8120518020599409,0.8341104012065278,0.8106604367494583,0.846181605543409,-0.02205859914658692,-0.2205775175905056,0.2205775175905056,
is_observed_division,ELLIPSE_MAJOR,43,2631,14.725744256760668,13.665149768914073,13.896850701616707,15.04432708728594,1.0605944878465952,0.2171799286199622,0.2171799286199622,
is_observed_division,PERIMETER,43,2631,81.18181770203846,76.0069129038876,77.28725790675632,84.2356462361855,5.1749047981508625,0.21412258861440073,0.21412258861440073,
is_observed_division,shape_r_norm_036,43,2631,1.1409907369198324,1.1250423064298893,1.1446086764335632,1.1190114203426573,0.0159484304899431,0.20654357358451944,0.20654357358451944,
is_observed_division,shape_r_norm_014,43,2631,0.7842045800646691,0.8053072895548578,0.785308301448822,0.8167818232280452,-0.021102709490188665,-0.20301033808372318,0.20301033808372318,
is_observed_division,shape_r_norm_059,43,2631,1.0920194525901175,1.0790217394734618,1.08539979159832,1.0808012718107642,0.012997713116655651,0.18895791526914663,0.18895791526914663,
is_observed_division,RADIUS,43,2631,11.637438036833904,10.877950748358307,11.33975760611198,12.322465013081082,0.7594872884755972,0.18704629561743466,0.18704629561743466,
is_observed_division,shape_r_norm_046,43,2631,0.7859450054904056,0.8053696432811036,0.7882793247699738,0.8190013515321832,-0.01942463779069803,-0.1852402703192897,0.1852402703192897,
is_observed_division,shape_r_norm_047,43,2631,0.7789011158966815,0.7982871027669862,0.7841834723949432,0.8121336996555328,-0.019385986870304683,-0.18250430153067482,0.18250430153067482,
is_observed_division,shape_r_norm_003,43,2631,1.185382367413068,1.1677286138096,1.1852462530136108,1.1547801669051008,0.017653753603467992,0.1738318276567033,0.1738318276567033,
is_observed_division,shape_r_norm_021,43,2631,0.8385483504915692,0.855225767469913,0.8430218935012818,0.8675962206793995,-0.016677416978343795,-0.17346541169377372,0.17346541169377372,
is_observed_division,shape_mean_radius,43,2631,11.399227217926091,10.699262087927968,11.216510772705078,12.113593339920044,0.6999651299981231,0.17268720613471317,0.17268720613471317,
is_observed_division,shape_r_norm_055,43,2631,0.8979484887874826,0.9123257737735744,0.9195591373877092,0.9319505168170463,-0.01437728498609181,-0.16847955780114987,0.16847955780114987,
