target,status,rows,positives,positive_rate,groups,folds,features,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,task,horizon_frames
is_observed_division,ok,2674,43,0.016080777860882575,58,5,72,0.5926205093138173,0.22580416297403144,0.06761182052331002,0.05035204846584959,cell_preterminal_shape,
is_observed_division,ok,2674,43,0.016080777860882575,58,5,78,0.5671841933368614,0.23275365713802687,0.08136727646542125,0.06982586118981811,cell_preterminal_shape_plus_size,
division_within_3_frames,ok,62199,127,0.002041833469991479,58,5,72,0.645788526341543,0.040428261723467106,0.0075108370110528126,0.006220963759736341,spot_division_within_3_shape,3.0
division_within_3_frames,ok,62199,127,0.002041833469991479,58,5,78,0.7703959419595929,0.03243487318680656,0.009996767683769822,0.007277787586061258,spot_division_within_3_shape_plus_size,3.0
division_within_5_frames,ok,57532,180,0.0031286935966071054,58,5,72,0.6718655364757652,0.08010785976604938,0.011629351602235091,0.005667690371693955,spot_division_within_5_shape,5.0
division_within_5_frames,ok,57532,180,0.0031286935966071054,58,5,78,0.7316189245733625,0.10285745994796232,0.012225883545046692,0.005563172209130036,spot_division_within_5_shape_plus_size,5.0
division_within_10_frames,ok,47507,267,0.005620224387984929,58,5,72,0.6588216195079902,0.07872016516544057,0.011951817450936516,0.0058110194006112436,spot_division_within_10_shape,10.0
division_within_10_frames,ok,47507,267,0.005620224387984929,58,5,78,0.7092616465114258,0.04572728739366072,0.01668279278151313,0.006426308747292751,spot_division_within_10_shape_plus_size,10.0
