LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID6145,6145,0,5639.0,148.47093982048884,129.71532246275555,0.0,61.0,61,12.668304173085497,1,,7368.910961333806,5167.0,1248.0,29860.0,4.154592E7,6193.13138617156,0.6715421289003726,0.9560463489907435,-0.016814841827027405,-0.09448195971376498,15.356356998545841,10.357349814295354,-0.32525685797924914,1.4826531182089449,504.18142064601653,84.97983572581357,0.8773339333324833,0.9845509295627127,3.7846216409900157
ID5891,5891,0,3753.0,147.73591716875424,131.60463740251168,0.0,26.0,26,10.333305776602142,1,,7856.215027977618,8531.0,2057.0,12856.0,2.9484375E7,2734.7389955033696,0.689555137046967,2.344898793052958,0.008431485562174589,-0.04830760272487007,11.605028639938048,9.325423792129609,2.975893737306895,1.2444505363640803,335.4504930805276,66.671425539927,0.9483285301435975,0.9927248677248673,3.6402023343855356
ID5893,5893,0,3963.0,148.01817886123666,131.59870329348175,0.0,27.0,27,10.62252856430305,1,,7526.73681554378,7957.0,1871.0,11980.0,2.9828458E7,2776.0052251791144,0.678121798615808,2.1912941196247266,0.026285737109426596,0.03986049755889805,11.95050710078804,9.536244073794116,-0.17796617630335373,1.2531670758751225,354.49138715811677,68.76805725227962,0.9419807789704803,0.9901373283395752,3.6524469054320186
ID6021,6021,0,6013.0,152.24210249018802,130.02632682693283,0.0,54.0,54,13.089204231902693,1,,6582.5814223994685,7288.0,1338.0,11137.0,3.9613975E7,3051.0857361962,0.6612379598716905,1.7175039904988307,0.028102670611432026,0.00997314997098654,14.891351522603893,11.605429090763252,0.026385558604006123,1.2831366601047007,538.2404847002955,85.79751749921536,0.9188334155345641,0.9882642593352481,3.698167192573262
ID5899,5899,0,3789.0,146.95459579730425,131.66525138683505,0.0,19.0,19,10.390288195744748,1,,7425.5923097181985,8066.0,1699.0,12370.0,2.8194974E7,3142.1311121509802,0.6720107064008068,1.899651488305759,0.025036568155858505,-0.0077051361856408,11.172127450572376,9.72274991462793,0.025627692910989066,1.1490707411659176,339.1603386402461,66.84078399875561,0.9539637096905673,0.9921548117154817,3.629434850874264
ID5903,5903,0,3875.0,148.30321926953206,131.16889575175955,0.0,30.0,30,10.504002918054528,1,,7856.638544891641,8512.0,1733.0,12339.0,3.0452331E7,2645.682596065327,0.6928231910555401,2.43074748441089,-0.006539433298844466,0.022885369735290935,11.80743907196912,9.434399095038893,-0.12073486816454275,1.2515305906634897,346.6247266941362,67.967841611772,0.9428930765516319,0.9925764751055928,3.6506795126336278
ID5904,5904,0,3539.0,148.8039752026244,131.72683624908842,0.0,31.0,31,10.04354547375541,1,,8567.76064279673,9178.0,1903.0,14668.0,3.0389847E7,2712.163948309818,0.7142635483944314,2.632463016382458,-0.01293301874256435,-0.0037626199530225394,11.026681026188012,9.194044196330774,-0.009373129623495043,1.19932869482927,316.90126528193747,65.1811080270529,0.9373253431108053,0.9895324494068385,3.6615060178757606
