bce_pos_weight,eval_threshold,train_final_loss,train_intermediate_loss,train_loss,val_rollout_dice,val_rollout_iou,val_rollout_one_step_mse,val_rollout_population_mass_error,val_rollout_precision,val_rollout_recall,val_rollout_rollout_mse
0.25,0.3,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8228666252560086,0.7050901850064596,0.004026110148212562,0.08165704003638691,0.832938884695371,0.8143441792991426,0.011568084488519363
0.25,0.35,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8202877557939954,0.7014885859356986,0.004026110148212562,0.08165704003638691,0.8222754995028178,0.8196872538990445,0.011568084488519363
0.25,0.4,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8174505084753036,0.697455065117942,0.004026110148212562,0.08165704003638691,0.8096453994512558,0.8269474539491866,0.011568084488519363
0.25,0.45,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8142630176411735,0.6928814252217611,0.004026110148212562,0.08165704003638691,0.8007233606444465,0.8300656990872489,0.011568084488519363
0.25,0.5,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8100262946552701,0.6869701759682761,0.004026110148212562,0.08165704003638691,0.7873341573609246,0.8362553301784728,0.011568084488519363
0.25,0.55,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.8037590136130651,0.678120568394661,0.004026110148212562,0.08165704003638691,0.7702087428834703,0.8431831333372328,0.011568084488519363
0.25,0.6,0.21081224319181943,0.31256220528953954,0.3675290144849242,0.7971620129214393,0.6688748796780905,0.004026110148212562,0.08165704003638691,0.7547687325212691,0.8482412828339471,0.011568084488519363
0.5,0.3,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.8221937451097701,0.7047488308615155,0.004451199861553808,0.1210186207253072,0.813718866970804,0.8321184482839372,0.011783418549586915
0.5,0.35,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.8206875721613566,0.7022786123885049,0.004451199861553808,0.1210186207253072,0.8075429184569253,0.8357746005058289,0.011783418549586915
0.5,0.4,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.8168590433067746,0.6968037171496285,0.004451199861553808,0.1210186207253072,0.7952281716797087,0.8413886841800478,0.011783418549586915
0.5,0.45,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.8134118086761899,0.6918738815519545,0.004451199861553808,0.1210186207253072,0.7869528763824039,0.8436266481876373,0.011783418549586915
0.5,0.5,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.808474643362893,0.684931250082122,0.004451199861553808,0.1210186207253072,0.7740480386548572,0.8483903523948457,0.011783418549586915
0.5,0.55,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.8013324224286609,0.6749127606550852,0.004451199861553808,0.1210186207253072,0.7571746044688754,0.8538278457191255,0.011783418549586915
0.5,0.6,0.22629440209844656,0.3242283764115551,0.3888543956635291,0.7942352741956711,0.6649849729405509,0.004451199861553808,0.1210186207253072,0.7422726419236925,0.8577116330464681,0.011783418549586915
1.0,0.3,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.8231943647066752,0.7050484899017546,0.005122432730988496,0.22464690605799356,0.7808909167846044,0.8718642228179507,0.012161846104491916
1.0,0.35,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.8189872652292252,0.6993184801605012,0.005122432730988496,0.22464690605799356,0.772636342379782,0.872949426372846,0.012161846104491916
1.0,0.4,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.8140340314971076,0.692394999994172,0.005122432730988496,0.22464690605799356,0.762086432841089,0.8755735771523582,0.012161846104491916
1.0,0.45,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.8101532376474805,0.6869422164228227,0.005122432730988496,0.22464690605799356,0.7558789253234863,0.8751493957307603,0.012161846104491916
1.0,0.5,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.8043153766128752,0.6787903192970488,0.005122432730988496,0.22464690605799356,0.7442347175545163,0.8777621736129125,0.012161846104491916
1.0,0.55,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.7959758523437712,0.6672511051098505,0.005122432730988496,0.22464690605799356,0.728396400809288,0.880830662118064,0.012161846104491916
1.0,0.6,0.25305715451637906,0.3441126657682553,0.42564438074304345,0.7880805449353324,0.6563726481464174,0.005122432730988496,0.22464690605799356,0.7148452252149582,0.8824050360255771,0.012161846104491916
1.5,0.3,0.27555585927084875,0.36065864745985,0.45640122681333306,0.8186312433746126,0.6978787051306831,0.005744284355185098,0.2801631312403414,0.7589337213171853,0.8900014029608833,0.012304793500031034
1.5,0.35,0.27555585927084875,0.36065864745985,0.45640122681333306,0.8150038139687644,0.6930037869347466,0.005744284355185098,0.2801631312403414,0.7529308928383721,0.8898209068510268,0.012304793500031034
1.5,0.4,0.27555585927084875,0.36065864745985,0.45640122681333306,0.8103277683258057,0.6865430888202455,0.005744284355185098,0.2801631312403414,0.7440435157881843,0.8914144966337416,0.012304793500031034
1.5,0.45,0.27555585927084875,0.36065864745985,0.45640122681333306,0.8066451218393114,0.6815285334984461,0.005744284355185098,0.2801631312403414,0.739104054040379,0.889853878153695,0.012304793500031034
1.5,0.5,0.27555585927084875,0.36065864745985,0.45640122681333306,0.8010388811429342,0.6737845738728842,0.005744284355185098,0.2801631312403414,0.7292954126993815,0.890842553642061,0.012304793500031034
1.5,0.55,0.27555585927084875,0.36065864745985,0.45640122681333306,0.7929234438472323,0.6626230511400435,0.005744284355185098,0.2801631312403414,0.7151425100035138,0.8925805373324288,0.012304793500031034
