target,shape_column,angle_deg,positive_mean,negative_mean,mean_diff,abs_mean_diff,horizon_frames
is_observed_division,shape_r_norm_005,28.125,1.1149247427946432,1.0799452662618658,0.03497947653277733,0.03497947653277733,
is_observed_division,shape_r_norm_027,151.875,1.112053775887519,1.0782242963634434,0.03382947952407567,0.03382947952407567,
is_observed_division,shape_r_norm_026,146.25,1.0649818273300014,1.031983343043739,0.032998484286262286,0.032998484286262286,
is_observed_division,shape_r_norm_017,95.625,0.7669180505757163,0.7995450585533088,-0.03262700797759255,0.03262700797759255,
is_observed_division,shape_r_norm_016,90.0,0.7656869654248472,0.7967443314823676,-0.031057366057520408,0.031057366057520408,
is_observed_division,shape_r_norm_018,101.25,0.7761524677287679,0.8063518232609509,-0.030199355532183003,0.030199355532183003,
is_observed_division,shape_r_norm_038,213.75,1.0625177583763517,1.0328284242334154,0.029689334142936286,0.029689334142936286,
is_observed_division,shape_r_norm_004,22.5,1.154915891283319,1.125450189765277,0.029465701518041953,0.029465701518041953,
is_observed_division,shape_r_norm_015,84.375,0.7697506029586121,0.7985773543603991,-0.028826751401787032,0.028826751401787032,
is_observed_division,shape_r_norm_037,208.125,1.1074196547290371,1.078720645620386,0.028699009108651197,0.028699009108651197,
is_observed_division,shape_r_norm_028,157.5,1.152538700495315,1.1241761965459578,0.028362503949357132,0.028362503949357132,
is_observed_division,shape_r_norm_006,33.75,1.0620179073986795,1.0337948132612889,0.02822309413739066,0.02822309413739066,
is_observed_division,shape_r_norm_019,106.875,0.7912013971876741,0.818188715115062,-0.026987317927387844,0.026987317927387844,
is_observed_division,shape_r_norm_039,219.375,1.015152532953516,0.9891113459303352,0.026041187023180812,0.026041187023180812,
is_observed_division,shape_r_norm_020,112.5,0.8120518020599409,0.8341104012065278,-0.02205859914658692,0.02205859914658692,
is_observed_division,shape_r_norm_014,78.75,0.7842045800646691,0.8053072895548578,-0.021102709490188665,0.021102709490188665,
is_observed_division,shape_r_norm_025,140.625,1.007745440698817,0.9882694938471225,0.019475946851694625,0.019475946851694625,
is_observed_division,shape_r_norm_046,258.75,0.7859450054904056,0.8053696432811036,-0.01942463779069803,0.01942463779069803,
is_observed_division,shape_r_norm_047,264.375,0.7789011158966815,0.7982871027669862,-0.019385986870304683,0.019385986870304683,
is_observed_division,shape_r_norm_032,180.0,1.2155464399830065,1.2337899650616766,-0.01824352507867011,0.01824352507867011,
is_observed_division,shape_r_norm_063,354.375,1.2089119555858772,1.2265664722365819,-0.01765451665070472,0.01765451665070472,
is_observed_division,shape_r_norm_003,16.875,1.185382367413068,1.1677286138096,0.017653753603467992,0.017653753603467992,
is_observed_division,shape_r_norm_040,225.0,0.9666138873051753,0.9489782743900531,0.017635612915122167,0.017635612915122167,
is_observed_division,shape_r_norm_000,0.0,1.2172148235720361,1.2347654538847972,-0.01755063031276105,0.01755063031276105,
