target,shape_column,angle_deg,positive_mean,negative_mean,mean_diff,abs_mean_diff,horizon_frames
is_observed_division,shape_r_norm_005,28.125,1.1149247427946432,1.083258283151964,0.03166645964267922,0.03166645964267922,
is_observed_division,shape_r_norm_017,95.625,0.7669180505757163,0.7975616081204107,-0.03064355754469439,0.03064355754469439,
is_observed_division,shape_r_norm_027,151.875,1.112053775887519,1.081637597689028,0.030416178198491073,0.030416178198491073,
is_observed_division,shape_r_norm_026,146.25,1.0649818273300014,1.035815282232104,0.02916654509789729,0.02916654509789729,
is_observed_division,shape_r_norm_016,90.0,0.7656869654248472,0.7948004765544765,-0.029113511129629344,0.029113511129629344,
is_observed_division,shape_r_norm_018,101.25,0.7761524677287679,0.804843764171521,-0.028691296442753145,0.028691296442753145,
is_observed_division,shape_r_norm_015,84.375,0.7697506029586121,0.796792142824445,-0.02704153986583291,0.02704153986583291,
is_observed_division,shape_r_norm_004,22.5,1.154915891283319,1.1284834514004443,0.026432439882874803,0.026432439882874803,
is_observed_division,shape_r_norm_038,213.75,1.0625177583763517,1.0365589097413472,0.025958848635004417,0.025958848635004417,
is_observed_division,shape_r_norm_028,157.5,1.152538700495315,1.1266971332646836,0.025841567230631357,0.025841567230631357,
is_observed_division,shape_r_norm_019,106.875,0.7912013971876741,0.8167648584178746,-0.02556346123020048,0.02556346123020048,
is_observed_division,shape_r_norm_006,33.75,1.0620179073986795,1.0371978574370346,0.024820049961644886,0.024820049961644886,
is_observed_division,shape_r_norm_037,208.125,1.1074196547290371,1.0827057034283887,0.024713951300648462,0.024713951300648462,
is_observed_division,shape_r_norm_039,219.375,1.015152532953516,0.9919474460701253,0.023205086883390735,0.023205086883390735,
is_observed_division,shape_r_norm_020,112.5,0.8120518020599409,0.8332774384486933,-0.02122563638875241,0.02122563638875241,
is_observed_division,shape_r_norm_014,78.75,0.7842045800646691,0.8038330756588067,-0.019628495594137596,0.019628495594137596,
is_observed_division,shape_r_norm_047,264.375,0.7789011158966815,0.7959666444868913,-0.01706552859020971,0.01706552859020971,
is_observed_division,shape_r_norm_046,258.75,0.7859450054904056,0.8029777091914685,-0.017032703701062912,0.017032703701062912,
is_observed_division,shape_r_norm_021,118.125,0.8385483504915692,0.8550228810542497,-0.016474530562680556,0.016474530562680556,
is_observed_division,shape_r_norm_032,180.0,1.2155464399830065,1.231919997752862,-0.016373557769855607,0.016373557769855607,
is_observed_division,shape_r_norm_055,309.375,0.8979484887874826,0.9139900446993553,-0.01604155591187273,0.01604155591187273,
is_observed_division,shape_r_norm_025,140.625,1.007745440698817,0.9917734457580416,0.015971994940775502,0.015971994940775502,
is_observed_division,shape_r_norm_033,185.625,1.2092839754072389,1.2252006930637767,-0.015916717656537793,0.015916717656537793,
is_observed_division,shape_r_norm_040,225.0,0.9666138873051753,0.950832140188371,0.015781747116804246,0.015781747116804246,
is_observed_division,shape_r_norm_003,16.875,1.185382367413068,1.169691589077415,0.0156907783356528,0.0156907783356528,
is_observed_division,shape_r_norm_054,303.75,0.8660684136038442,0.8812647546924111,-0.015196341088566823,0.015196341088566823,
is_observed_division,shape_r_norm_056,315.0,0.9364808055506891,0.9515708464959718,-0.015090040945282657,0.015090040945282657,
is_observed_division,shape_r_norm_063,354.375,1.2089119555858772,1.2237115099789468,-0.01479955439306968,0.01479955439306968,
is_observed_division,shape_r_norm_013,73.125,0.8013293479142872,0.8157333862090388,-0.014404038294751564,0.014404038294751564,
is_observed_division,shape_r_norm_000,0.0,1.2172148235720361,1.2315661464384295,-0.014351322866393401,0.014351322866393401,
is_observed_division,shape_r_norm_007,39.375,1.0066336552912212,0.9927190795686693,0.013914575722551836,0.013914575722551836,
is_observed_division,shape_r_norm_029,163.125,1.1817309501054023,1.16809427105992,0.01363667904548227,0.01363667904548227,
is_observed_division,shape_r_norm_048,270.0,0.7803634262504862,0.7938195475477612,-0.013456121297275025,0.013456121297275025,
is_observed_division,shape_r_norm_062,348.75,1.1887615306072492,1.2018330603803482,-0.013071529773099,0.013071529773099,
is_observed_division,shape_r_norm_031,174.375,1.210714023990469,1.223764519993643,-0.013050496003174095,0.013050496003174095,
is_observed_division,shape_r_norm_036,202.5,1.1409907369198324,1.1290252497595235,0.011965487160308985,0.011965487160308985,
is_observed_division,shape_r_norm_041,230.625,0.9249429710755379,0.913623993399204,0.011318977676333941,0.011318977676333941,
is_observed_division,shape_r_norm_034,191.25,1.193363833118431,1.2046245309163919,-0.011260697797960795,0.011260697797960795,
is_observed_division,shape_r_norm_053,298.125,0.8424530460781249,0.8536967345285545,-0.011243688450429667,0.011243688450429667,
is_observed_division,shape_r_norm_045,253.125,0.8038755713749587,0.8147225177558427,-0.010846946380884015,0.010846946380884015,
is_observed_division,shape_r_norm_050,281.25,0.7925538515101016,0.8033458801779887,-0.010792028667887088,0.010792028667887088,
is_observed_division,shape_r_norm_051,286.875,0.8053004845624074,0.815194945169503,-0.009894460607095534,0.009894460607095534,
is_observed_division,shape_r_norm_022,123.75,0.8723939303462281,0.8818467386504362,-0.009452808304208027,0.009452808304208027,
is_observed_division,shape_r_norm_052,292.5,0.8229436921956963,0.8317478416620674,-0.008804149466371092,0.008804149466371092,
is_observed_division,shape_r_norm_049,275.625,0.7876851766407585,0.7963309496225836,-0.008645772981825006,0.008645772981825006,
is_observed_division,shape_r_norm_024,135.0,0.9594846584468484,0.950908653905238,0.008576004541610338,0.008576004541610338,
is_observed_division,shape_r_norm_059,331.875,1.0920194525901175,1.0838851198113755,0.008134332778741982,0.008134332778741982,
is_observed_division,shape_r_norm_042,236.25,0.8882768058297384,0.8810340613723507,0.0072427444573877064,0.0072427444573877064,
is_observed_division,shape_r_norm_012,67.5,0.8258997030088792,0.8326719716873991,-0.006772268678519988,0.006772268678519988,
is_observed_division,shape_r_norm_009,50.625,0.9206937649959684,0.914333918698244,0.0063598462977244585,0.0063598462977244585,
is_observed_division,shape_r_norm_008,45.0,0.9575569798907332,0.9512662516069003,0.006290728283832925,0.006290728283832925,
is_observed_division,shape_r_norm_002,11.25,1.2094212503148074,1.20326616489391,0.006155085420897377,0.006155085420897377,
is_observed_division,shape_r_norm_061,343.125,1.1631206239662053,1.1692118910665605,-0.0060912671003552354,0.0060912671003552354,
is_observed_division,shape_r_norm_001,5.625,1.2183735478652264,1.224106678005813,-0.005733130140586518,0.005733130140586518,
is_observed_division,shape_r_norm_057,320.625,0.9893408362502779,0.9933858781585411,-0.004045041908263158,0.004045041908263158,
is_observed_division,shape_r_norm_044,247.5,0.827543282656437,0.831466305983912,-0.0039230233274750725,0.0039230233274750725,
is_observed_division,shape_r_norm_030,168.75,1.1982109391005304,1.2017565890771829,-0.0035456499766524097,0.0035456499766524097,
is_observed_division,shape_r_norm_010,56.25,0.8856555311281186,0.882255800846026,0.0033997302820926167,0.0033997302820926167,
is_observed_division,shape_r_norm_060,337.5,1.1321088451140708,1.12871896148955,0.003389883624520751,0.003389883624520751,
is_observed_division,shape_r_norm_043,241.875,0.8564346141809014,0.8535724534304869,0.0028621607504144553,0.0028621607504144553,
is_observed_division,shape_r_norm_023,129.375,0.91256876370086,0.913752386832478,-0.0011836231316179058,0.0011836231316179058,
is_observed_division,shape_r_norm_035,196.875,1.170448051848695,1.1714387074775494,-0.0009906556288543644,0.0009906556288543644,
is_observed_division,shape_r_norm_011,61.875,0.8544122498453095,0.8548414274216761,-0.0004291775763666239,0.0004291775763666239,
is_observed_division,shape_r_norm_058,326.25,1.038147533732829,1.0380445530989795,0.00010298063384950318,0.00010298063384950318,
division_within_3_frames,shape_r_norm_017,95.625,0.7648854480376319,0.8024629391308377,-0.03757749109320574,0.03757749109320574,3.0
division_within_3_frames,shape_r_norm_016,90.0,0.7627037765960845,0.7997453876286568,-0.03704161103257231,0.03704161103257231,3.0
division_within_3_frames,shape_r_norm_015,84.375,0.7666845411535294,0.8017783257816165,-0.0350937846280871,0.0350937846280871,3.0
division_within_3_frames,shape_r_norm_004,22.5,1.1627846776493012,1.128819171518055,0.03396550613124605,0.03396550613124605,3.0
division_within_3_frames,shape_r_norm_005,28.125,1.1182930890529874,1.0859199525603391,0.03237313649264828,0.03237313649264828,3.0
division_within_3_frames,shape_r_norm_018,101.25,0.7791209242173603,0.8098896144111705,-0.030768690193810122,0.030768690193810122,3.0
division_within_3_frames,shape_r_norm_003,16.875,1.1968601487931751,1.1664814419826703,0.030378706810504807,0.030378706810504807,3.0
division_within_3_frames,shape_r_norm_014,78.75,0.779653565278129,0.808651477076398,-0.02899791179826894,0.02899791179826894,3.0
division_within_3_frames,shape_r_norm_026,146.25,1.0716536830342005,1.042683363293874,0.0289703197403266,0.0289703197403266,3.0
division_within_3_frames,shape_r_norm_055,309.375,0.8924165815114975,0.9206006130427772,-0.028184031531279685,0.028184031531279685,3.0
division_within_3_frames,shape_r_norm_054,303.75,0.8594113452330469,0.8875313458047451,-0.028120000571698278,0.028120000571698278,3.0
division_within_3_frames,shape_r_norm_056,315.0,0.9323193776229072,0.9583731425135044,-0.026053764890597186,0.026053764890597186,3.0
division_within_3_frames,shape_r_norm_027,151.875,1.112567277181716,1.0865915148709773,0.025975762310738837,0.025975762310738837,3.0
division_within_3_frames,shape_r_norm_013,73.125,0.794907401005427,0.8205051642204619,-0.02559776321503493,0.02559776321503493,3.0
division_within_3_frames,shape_r_norm_053,298.125,0.8354139047719183,0.859662267731846,-0.024248362959927605,0.024248362959927605,3.0
division_within_3_frames,shape_r_norm_039,219.375,1.0224336712133317,0.9987917268733773,0.02364194433995448,0.02364194433995448,3.0
division_within_3_frames,shape_r_norm_019,106.875,0.7986378579858749,0.8221306422125501,-0.023492784226675112,0.023492784226675112,3.0
division_within_3_frames,shape_r_norm_038,213.75,1.0658125901033009,1.0425472146620292,0.02326537544127172,0.02326537544127172,3.0
division_within_3_frames,shape_r_norm_025,140.625,1.0218934312699333,0.9993129178845466,0.02258051338538669,0.02258051338538669,3.0
division_within_3_frames,shape_r_norm_002,11.25,1.2165607715409898,1.195799308081376,0.020761463459613827,0.020761463459613827,3.0
division_within_3_frames,shape_r_norm_052,292.5,0.817545501130914,0.8374043832506327,-0.019858882119718757,0.019858882119718757,3.0
division_within_3_frames,shape_r_norm_037,208.125,1.1061817615751237,1.0867654958316593,0.019416265743464445,0.019416265743464445,3.0
division_within_3_frames,shape_r_norm_006,33.75,1.0603059530258179,1.0411430015399725,0.019162951485845348,0.019162951485845348,3.0
division_within_3_frames,shape_r_norm_028,157.5,1.1480217883511195,1.1288984780718192,0.019123310279300254,0.019123310279300254,3.0
division_within_3_frames,shape_r_norm_040,225.0,0.9768240565345401,0.9578017843250377,0.019022272209502367,0.019022272209502367,3.0
division_within_3_frames,shape_r_norm_012,67.5,0.8189456401363252,0.8374779838062484,-0.01853234366992318,0.01853234366992318,3.0
division_within_3_frames,shape_r_norm_051,286.875,0.8023033317119356,0.8203898032977498,-0.018086471585814223,0.018086471585814223,3.0
division_within_3_frames,shape_r_norm_041,230.625,0.9382703044111766,0.9206165484440648,0.017653755967111828,0.017653755967111828,3.0
division_within_3_frames,shape_r_norm_020,112.5,0.8219034759298204,0.8392094385829617,-0.017305962653141327,0.017305962653141327,3.0
division_within_3_frames,shape_r_norm_042,236.25,0.9043782760226537,0.8878493378121658,0.016528938210487953,0.016528938210487953,3.0
division_within_3_frames,shape_r_norm_032,180.0,1.2026957126836928,1.2189789650179434,-0.016283252334250653,0.016283252334250653,3.0
division_within_3_frames,shape_r_norm_050,281.25,0.7928803059316817,0.8082767108010207,-0.01539640486933902,0.01539640486933902,3.0
division_within_3_frames,shape_r_norm_033,185.625,1.1985468296777635,1.2131697110169855,-0.01462288133922196,0.01462288133922196,3.0
division_within_3_frames,shape_r_norm_031,174.375,1.1982607136643122,1.2125717773185505,-0.014311063654238287,0.014311063654238287,3.0
division_within_3_frames,shape_r_norm_011,61.875,0.8465670798979108,0.8596403197342118,-0.013073239836301043,0.013073239836301043,3.0
division_within_3_frames,shape_r_norm_057,320.625,0.9867122159117744,0.9997493789780811,-0.013037163066306756,0.013037163066306756,3.0
division_within_3_frames,shape_r_norm_024,135.0,0.9714711781532045,0.9587221033077659,0.012749074845438635,0.012749074845438635,3.0
division_within_3_frames,shape_r_norm_047,264.375,0.7882661310926317,0.8009276572082669,-0.012661526115635202,0.012661526115635202,3.0
division_within_3_frames,shape_r_norm_062,348.75,1.1828473262370578,1.1952821834537375,-0.012434857216679696,0.012434857216679696,3.0
division_within_3_frames,shape_r_norm_046,258.75,0.796240416074556,0.8082756129722812,-0.012035196897725253,0.012035196897725253,3.0
division_within_3_frames,shape_r_norm_048,270.0,0.7871548900055507,0.7986025734982791,-0.0114476834927284,0.0114476834927284,3.0
division_within_3_frames,shape_r_norm_043,241.875,0.8713350792725881,0.8601590327669248,0.011176046505663284,0.011176046505663284,3.0
division_within_3_frames,shape_r_norm_061,343.125,1.1559995081689622,1.1671243861398204,-0.011124877970858149,0.011124877970858149,3.0
division_within_3_frames,shape_r_norm_034,191.25,1.1842217341301933,1.1953059641920742,-0.011084230061880973,0.011084230061880973,3.0
division_within_3_frames,shape_r_norm_021,118.125,0.8514074337860894,0.861615301911048,-0.010207868124958552,0.010207868124958552,3.0
